title,Production company,Country,Language,Budget,Box office,Release date,Directed by,profit,Sum_profit_by_directed,count_title_by_directed,genre
Pirates of the Caribbean: Dead Men Tell No Tales,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",United States,English,230,794900000,2017-05-11,"['Joachim Rรธnning', 'Espen Sandberg']",794899770,794899770,1,Adventure
Pirates of the Caribbean: On Stranger Tides,,United States,English,410600000,1046000000,2011-05-07,Rob Marshall,635400000,1018000000,3,Adventure
Pirates of the Caribbean: The Curse of the Black Pearl,,United States,English,140000000,654300000,2003-06-28,Gore Verbinski,514300000,2276799775,4,Adventure
Planes,"['Walt Disney Pictures', 'Disneytoon Studios']",United States,English,50000000,239300000,2013-08-02,Klay Hall,189300000,189300000,1,Animation
Planes: Fire & Rescue,"['Walt Disney Pictures', 'Disneytoon Studios']",United States,English,50000000,147000000,2014-07-15,Bobs Gannaway,97000000,97000000,1,Animation
Pocahontas,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,55000000,346100000,1995-06-23,"['Mike Gabriel', 'Eric Goldberg']",291100000,291100000,1,Adventure
Pollyanna,Walt Disney Productions,United States,English,2500000,3750000,1960-05-19,David Swift,1250000,1250000,1,Drama
Pooh's Heffalump Movie,"['Walt Disney Pictures', 'Disneytoon Studios']",United States,English,20000000,52900000,2005-02-11,Frank Nissen,32900000,32900000,1,Adventure
Popeye,"['Paramount Pictures', 'Walt Disney Productions', 'Robert Evans Productions', 'King Features Entertainment']",United States,English,20000000,60000000,1980-12-06,Robert Altman,40000000,40000000,1,Comedy
Prince of Persia: The Sands of Time,,United States,English,200000000,336400000,2010-05-09,Mike Newell,136400000,136400000,1,Fantasy
Prom,Walt Disney Pictures,United States,English,8000000,10700000,2011-04-29,Joe Nussbaum,2700000,2700000,1,Comedy
Queen of Katwe,,United States,"['English', 'Luganda']",15000000,10400000,2016-09-10,Mira Nair,-4600000,-4600000,1,Drama
Race to Witch Mountain,"['Walt Disney Pictures', 'Gunn Films']",United States,English,50000000,106400000,2009-03-11,Andy Fickman,56400000,181000000,2,Adventure
Ralph Breaks the Internet,,United States,English,175000000,529300000,2018-11-05,"['Rich Moore', 'Phil Johnston']",354300000,354300000,1,Animation
Ratatouille,,United States,English,150000000,620700000,2007-06-22,Brad Bird,470700000,2263699820,4,Comedy
Recess: School's Out,"['Walt Disney Pictures', 'Walt Disney Television Animation', 'Walt Disney Television Animation Digital Production', 'Paul & Joe Productions', 'Sunwoo Animation Sunwoo Digital International']",United States,English,23000000,44500000,2001-02-10,Chuck Sheetz,21500000,21500000,1,Comedy
Remember The Titans,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Technical Black Films']",United States,English,30000000,136700000,2000-09-29,Boaz Yakin,106700000,106700000,1,Drama
Return to Never Land,,United States,English,20000000,115100000,2002-02-10,Robin Budd,95100000,95100000,1,Animation
